location,reef,date,reef.area,halo.area,reef.rad,halo.rad,halo.wid
fiji,50,20150630,665.940186,4390.384766,14.55937309,37.38318974,22.82381665
fiji,51,20150630,572.049805,4162.027588,13.49403973,36.3980017,22.90396197
fiji,53,20150630,27.665527,3932.795898,2.967526032,35.38146145,32.41393542
fiji,54,20150630,322.474365,4634.839355,10.13147464,38.40983191,28.27835727
fiji,55,20150630,380.405273,4163.877686,11.00394289,36.40609059,25.4021477
fiji,59,20150630,767.949219,4928.651855,15.63476346,39.60856739,23.97380393
fiji,60,20150630,537.698242,4026.900635,13.0826093,35.80226645,22.71965714
fiji,62,20150630,36.335938,100.173584,3.400895219,5.646790427,2.245895208
fiji,64,20150630,1215.066406,6448.045898,19.66640916,45.30426863,25.63785946
fiji,65,20150630,281.401855,1528.012207,9.464300948,22.05405613,12.58975518
fiji,1,20160227,48.341553,334.289063,3.922702415,10.31540177,6.392699352
fiji,40,20160227,165.766357,896.885742,7.263956926,16.89637826,9.632421338
fiji,55,20160227,343.499756,1489.68457,10.45654667,21.77570495,11.31915828
fiji,67,20160227,170.164063,1285.874756,7.359680939,20.23132836,12.87164742
fiji,10,20160927,448.358887,4037.281006,11.94642483,35.84838152,23.90195669
fiji,12,20160927,1236.043701,3751.183594,19.8354463,34.55486685,14.71942055
fiji,16,20160927,593.205078,3807.101807,13.74128964,34.81146568,21.07017605
fiji,40,20160927,173.408691,820.82666,7.429515509,16.16407253,8.73455702
fiji,44,20160927,198.823242,623.953613,7.955338053,14.09292743,6.137589377
fiji,62,20160927,112.031738,504.898682,5.971667252,12.6773121,6.705644845
