reef_id,survey_type,country,reef_area_ha,reef_area_km,reef_count,halo_area_ha,halo_area_km,halo_count,reef_visibility,ocean_basin,site_characterization,image_date,image_year
R00092,Stratified_AllReefs,Maldives,70.7,0.707,1,0,0,0,NH,Indian ,Aggregate Reef,12/14/16,2016
R00093,Stratified_AllReefs,Maldives,89.23,0.8923,1,0,0,0,NH,Indian ,Aggregate Reef,12/14/16,2016
R00094,Stratified_AllReefs,Maldives,74.7,0.747,1,0,0,0,NH,Indian ,Aggregate Reef,12/14/16,2016
R00095,Stratified_AllReefs,Indonesia,45.2,0.452,1,0,0,0,NH,N. Pacific,Aggregate Reef,10/31/13,2013
R00096,Stratified_AllReefs,Indonesia,31.1,0.311,1,0,0,0,NH,N. Pacific,Aggregate Reef,10/14/16,2016
R00097,Stratified_AllReefs,Indonesia,116.4,1.164,1,0,0,0,NH,N. Pacific,Aggregate Reef,10/14/16,2016
R00098,Stratified_AllReefs,Kenya,196,1.96,1,0,0,0,NP,Indian ,Aggregate Reef,5/18/20,2020
R00099,Stratified_AllReefs,Indonesia,106,1.06,1,0,0,0,NP,S. Pacific,Aggregate Reef,1/21/20,2020
R00100,Stratified_AllReefs,Indonesia,27,0.27,1,0,0,0,NP,S. Pacific,Aggregate Reef,9/25/17,2017
R00101,Stratified_AllReefs,Indonesia,170,1.7,1,0,0,0,NP,S. Pacific,Aggregate Reef,9/2/14,2014
R00102,Stratified_AllReefs,Indonesia,240,2.4,1,0,0,0,NH,S. Pacific,Aggregate Reef,7/25/18,2018
R00103,Stratified_AllReefs,Indonesia,76.6,0.766,1,0,0,0,NP,S. Pacific,Aggregate Reef,10/19/19,2019
R00104,Stratified_AllReefs,Indonesia,82.4,0.824,1,0,0,0,NP,S. Pacific,Aggregate Reef,5/6/12,2012
R00105,Stratified_AllReefs,Indonesia,47.6,0.476,1,0,0,0,NP,S. Pacific,Aggregate Reef,5/6/12,2012
R00106,Stratified_AllReefs,Indonesia,43,0.43,1,0,0,0,NP,S. Pacific,Aggregate Reef,7/23/11,2011
R00107,Stratified_AllReefs,Indonesia,86.4,0.864,1,0,0,0,NP,S. Pacific,Aggregate Reef,4/18/13,2013
R00108,Stratified_AllReefs,Indonesia,6.3,0.063,1,0,0,0,NH,S. Pacific,Patch Reef,2/18/12,2012
R00109,Stratified_AllReefs,Indonesia,14.6,0.146,1,0,0,0,BR,S. Pacific,Patch Reef,2/18/12,2012
